Name,Value,Type,Token Name,Token,Index
Personal 3 Month CD - Interest Rate ,0.05,rates,personal-3-month-cd---interest-rate,[rates:personal-3-month-cd---interest-rate],52
Personal 6 Month CD - Interest Rate,0.25,rates,personal-6-month-cd---interest-rate,[rates:personal-6-month-cd---interest-rate],52
Personal 11 Month CD - Interest Rate,4.74,rates,personal-11-month-cd---interest-rate,[rates:personal-11-month-cd---interest-rate],52
Personal 12 Month CD - Interest Rate,0.50,rates,personal-12-month-cd---interest-rate,[rates:personal-12-month-cd---interest-rate],52
Personal 13 Month CD - Interest Rate,1.60,rates,personal-13-month-cd---interest-rate,[rates:personal-13-month-cd---interest-rate],52
Personal 14 Month CD - Interest Rate,,rates,personal-14-month-cd---interest-rate,[rates:personal-14-month-cd---interest-rate],52
Personal 18 Month CD - Interest Rate,3.47,rates,personal-18-month-cd---interest-rate,[rates:personal-18-month-cd---interest-rate],52
Personal 24 Month CD - Interest Rate,0.60,rates,personal-24-month-cd---interest-rate,[rates:personal-24-month-cd---interest-rate],52
Personal 26 Month CD - Interest Rate,,rates,personal-26-month-cd---interest-rate,[rates:personal-26-month-cd---interest-rate],52
Personal 36 Month CD - Interest Rate,0.60,rates,personal-36-month-cd---interest-rate,[rates:personal-36-month-cd---interest-rate],52
Personal 48 Month CD - Interest Rate,0.60,rates,personal-48-month-cd---interest-rate,[rates:personal-48-month-cd---interest-rate],52
Personal 60 Month CD - Interest Rate,0.60,rates,personal-60-month-cd---interest-rate,[rates:personal-60-month-cd---interest-rate],52
Personal 84 Month CD - Interest Rate,0.25,rates,personal-84-month-cd---interest-rate,[rates:personal-84-month-cd---interest-rate],52
Personal 3 Month CD,0.05,apy,personal-3-month-cd,[apy:personal-3-month-cd],52
Personal 6 Month CD,0.25,apy,personal-6-month-cd,[apy:personal-6-month-cd],52
Personal 11 Month CD  ,4.75,apy,personal-11-month-cd,[apy:personal-11-month-cd],52
Personal 12 Month CD,0.50,apy,personal-12-month-cd,[apy:personal-12-month-cd],52
Personal 13 Month CD,1.60,apy,personal-13-month-cd,[apy:personal-13-month-cd],52
Personal 14 Month CD,,apy,personal-14-month-cd,[apy:personal-14-month-cd],52
Personal 18 Month CD,3.50,apy,personal-18-month-cd,[apy:personal-18-month-cd],52
Personal 24 Month CD,0.60,apy,personal-24-month-cd,[apy:personal-24-month-cd],52
Personal 26 Month CD,,apy,personal-26-month-cd,[apy:personal-26-month-cd],52
Personal 36 Month CD,0.60,apy,personal-36-month-cd,[apy:personal-36-month-cd],52
Personal 48 Month CD,0.60,apy,personal-48-month-cd,[apy:personal-48-month-cd],52
Personal 60 Month CD,0.60,apy,personal-60-month-cd,[apy:personal-60-month-cd],52
Personal 84 Month CD,0.25,apy,personal-84-month-cd,[apy:personal-84-month-cd],52
Personal CD Minimum Deposit,"All CD terms have a minimum opening deposit of $1,000.00.",mindep,personal-cd-minimum-deposit,[mindep:personal-cd-minimum-deposit],
Personal IRA Savings - Interest Rate,0.01,rates,personal-ira-savings---interest-rate,[rates:personal-ira-savings---interest-rate],76
Personal IRA 3 Month CD - Interest Rate | 571,0.05,rates,personal-ira-3-month-cd---interest-rate,[rates:personal-ira-3-month-cd---interest-rate],57
Personal IRA 6 Month CD - Interest Rate | 581,0.25,rates,personal-ira-6-month-cd---interest-rate,[rates:personal-ira-6-month-cd---interest-rate],58
Personal IRA 11 Month CD - Interest Rate,4.74,rates,personal-ira-11-month-cd---interest-rate,[rates:personal-ira-11-month-cd---interest-rate],
Personal IRA 12 Month CD - Interest Rate | 611,0.50,rates,personal-ira-12-month-cd---interest-rate,[rates:personal-ira-12-month-cd---interest-rate],61
Personal IRA 18 Month CD - Interest Rate | 631,3.47,rates,personal-ira-18-month-cd---interest-rate,[rates:personal-ira-18-month-cd---interest-rate],63
Personal IRA 24 Month CD - Interest Rate | 651,0.60,rates,personal-ira-24-month-cd---interest-rate,[rates:personal-ira-24-month-cd---interest-rate],65
Personal IRA 36 Month CD - Interest Rate | 671,0.60,rates,personal-ira-36-month-cd---interest-rate,[rates:personal-ira-36-month-cd---interest-rate],67
Personal IRA 48 Month CD - Interest Rate | 691,0.60,rates,personal-ira-48-month-cd---interest-rate,[rates:personal-ira-48-month-cd---interest-rate],69
Personal IRA 60 Month CD - Interest Rate | 711,0.60,rates,personal-ira-60-month-cd---interest-rate,[rates:personal-ira-60-month-cd---interest-rate],71
Personal IRA 84 Month CD - Interest Rate | 751,0.50,rates,personal-ira-84-month-cd---interest-rate,[rates:personal-ira-84-month-cd---interest-rate],72
Personal IRA Savings,0.01,apy,personal-ira-savings,[apy:personal-ira-savings],76
Personal IRA 3 Month CD | 571,0.05,apy,personal-ira-3-month-cd,[apy:personal-ira-3-month-cd],57
Personal IRA 6 Month CD | 581,0.25,apy,personal-ira-6-month-cd,[apy:personal-ira-6-month-cd],58
Personal IRA 11 Month CD  ,4.75,apy,personal-ira-11-month-cd,[apy:personal-ira-11-month-cd],
Personal IRA 12 Month CD | 611,0.50,apy,personal-ira-12-month-cd,[apy:personal-ira-12-month-cd],61
Personal IRA 18 Month CD | 631,3.50,apy,personal-ira-18-month-cd,[apy:personal-ira-18-month-cd],63
Personal IRA 24 Month CD | 651,0.60,apy,personal-ira-24-month-cd,[apy:personal-ira-24-month-cd],65
Personal IRA 36 Month CD | 671,0.60,apy,personal-ira-36-month-cd,[apy:personal-ira-36-month-cd],67
Personal IRA 48 Month CD | 691,0.60,apy,personal-ira-48-month-cd,[apy:personal-ira-48-month-cd],69
Personal IRA 60 Month CD | 711,0.60,apy,personal-ira-60-month-cd,[apy:personal-ira-60-month-cd],71
Personal IRA 84 Month CD | 751,0.25,apy,personal-ira-84-month-cd,[apy:personal-ira-84-month-cd],72
Personal HSA 60 Month CD,0.15,apy,personal-hsa-60-month-cd,[apy:personal-hsa-60-month-cd],788
Personal Cash Rewards Checking 0-20 | 1681,0.01,apy,personal-cash-rewards-checking,[apy:personal-cash-rewards-checking-0-20],167
Personal Cash Rewards Checking 20plus | 1671,0.01,apy,personal-cash-rewards-checking-20plus,[apy:personal-cash-rewards-checking-20plus],168
Personal Cash Rewards Checking 0-20 Not Met  | 1672,0.01,apy,personal-cash-rewards-checking-notmet,[apy:personal-cash-rewards-checking-notmet],167
Personal Signature Series Checking 0-50,0.00,apy,personal-signature-series-checking-0-50,[apy:personal-signature-series-checking-0-50],
Personal Signature Series Checking 50-150 | 1522,0.15,apy,personal-signature-series-checking-50-150,[apy:personal-signature-series-checking-50-100],1152
Personal Signature Series Checking 150-250 | 1523,1.25,apy,personal-signature-series-checking-150-250,[apy:personal-signature-series-checking-150-250],1153
Personal Signature Series Checking 250plus | 1524,1.75,apy,personal-signature-series-checking-250plus,[apy:personal-signature-series-checking-250plus],1154
Personal Signature Series Checking Top Tier,"250,000",toptier,personal-signature-series-checking-toptier,[apy:personal-signature-series-checking-toptier],
Personal Signature Series Savings 0-50,0.00,apy,personal-signature-series-savings-0-50,[apy:personal-signature-series-savings-0-50],
Personal Signature Series Savings 50-150 | 5521,0.25,apy,personal-signature-series-savings-50-150,[apy:personal-signature-series-savings-50-100],552
Personal Signature Series Savings 150-250 | 5522,1.00,apy,personal-signature-series-savings-150-250,[apy:personal-signature-series-savings-150-250],553
Personal Signature Series Savings 250plus | 5523,1.26,apy,personal-signature-series-savings-250plus,[apy:personal-signature-series-savings-250plus],554
Personal Signature Series Savings Top Tier,"250,000",toptier,personal-signature-series-savings-toptier,[apy:personal-signature-series-savings-toptier],
Personal Platinum Checking 0-50 | 1551,1.00,apy,personal-platinum-checking-0-50,[apy:personal-platinum-checking-0-50],1551
Personal Platinum Checking 50plus | 1552,0.01,apy,personal-platinum-checking-50plus,[apy:personal-platinum-checking-50plus],1552
Personal Platinum Savings 0-50 | 5551,0.75,apy,personal-platinum-savings-0-50,[apy:personal-platinum-savings-0-50],555
Personal Platinum Savings 50plus | 5552,0.01,apy,personal-platinum-savings-50plus,[apy:personal-platinum-savings-50plus],556
Personal Regular Savings | 5101,0.25,apy,personal-regular-savings,[apy:personal-regular-savings],8
Personal Regular Savings Maintenance Fee,3,fee,personal-regular-savings-maintenance-fee,[fee:personal-regular-savings-maintenance-fee],
Personal High Yield Savings,0.40,apy,apy:personal-high-yield-savings,[apy:personal-high-yield-savings],
Personal High Yield Savings 0-24.9,0.20,apy,apy:personal-high-yield-savings-0-24.9,[apy:personal-high-yield-savings-0-24.9],
Personal High Yield Savings 25-99.9,0.30,apy,apy:personal-high-yield-savings-25-99.9,[apy:personal-high-yield-savings-25-99.9],
Personal High Yield Savings 100-499,0.40,apy,apy:personal-high-yield-savings-100-499,[apy:personal-high-yield-savings-100-499],
Personal High Yield Savings 500-999,0.40,apy,apy:personal-high-yield-savings-500-999,[apy:personal-high-yield-savings-500-999],
Personal High Yield Savings 1000-4999,0.40,apy,apy:personal-high-yield-savings-1000-4999,[apy:personal-high-yield-savings-1000-4999],
Personal High Yield Savings 5000plus,0.40,apy,apy:personal-high-yield-savings-5000plus,[apy:personal-high-yield-savings-5000plus],
Personal Money Market Savings 4.9less  - Charter Consolidated,0.15,apy,personal-money-market-savings-4.9less,[apy:personal-money-market-savings-4.9less],
Personal Money Market Savings 5-24.9  - Charter Consolidated,0.25,apy,personal-money-market-savings-5-24.9,[apy:personal-money-market-savings-5-24.9],
Personal Money Market Savings 25-100 - Charter Consolidated,0.50,apy,personal-money-market-savings-25-100,[apy:personal-money-market-savings-25-100],
Personal Money Market Savings 100plus - Charter Consolidated,0.75,apy,personal-money-market-savings-100plus,[apy:personal-money-market-savings-100plus],
Personal Regular Money Market Savings 0-2.5 | 1771,0.10,apy,personal-regular-money-market-savings-0-2.5,[apy:personal-regular-money-market-savings-0-2.5],177
Personal Regular Money Market Savings 2.5-5 | 1772,0.10,apy,personal-regular-money-market-savings-2.5-5,[apy:personal-regular-money-market-savings-2.5-5],178
Personal Regular Money Market Savings 5-10 | 1173,0.10,apy,personal-regular-money-market-savings-5-10,[apy:personal-regular-money-market-savings-5-10],179
Personal Regular Money Market Savings 10-25 | 1174,0.10,apy,personal-regular-money-market-savings-10-25,[apy:personal-regular-money-market-savings-10-25],180
Personal Regular Money Market Savings 25-100 | 1175,0.10,apy,personal-regular-money-market-savings-25-100,[apy:personal-regular-money-market-savings-25-100],181
Personal Regular Money Market Savings 100plus | 1176,0.75,apy,personal-regular-money-market-savings-100plus,[apy:personal-regular-money-market-savings-100plus],182
Personal Regular Money Market Maintenance Fee,15,fee,personal-regular-money-market-savings-maintenance-fee,[fee:personal-regular-money-market-savings-maintenance-fee],
Personal Regular Money Market Savings Top Tier,0.10,toptier,personal-regular-money-market-savings-toptier,[toptier:personal-regular-money-market-top-tier],
Personal Premium Money Market Savings 0-25 - Charter Consolidated,0.20,apy,personal-premium-money-market-savings-cc-0-25,[apy:personal-premium-money-market-savings-cc-0-25],
Personal Premium Money Market Savings 25-99 - Charter Consolidated,0.50,apy,personal-premium-money-market-savings-cc-25-99,[apy:personal-premium-money-market-savings-cc-25-99],
Personal Premium Money Market Savings 100-499 - Charter Consolidated,0.75,apy,personal-premium-money-market-savings-cc-100-499,[apy:personal-premium-money-market-savings-cc-100-499],
Personal Premium Money Market Savings 500-999 - Charter Consolidated,1.00,apy,personal-premium-money-market-savings-cc-500-999,[apy:personal-premium-money-market-savings-cc-500-999],
Personal Premium Money Market Savings 1000-4999 - Charter Consolidated,1.25,apy,personal-premium-money-market-savings-cc-1000-4999,[apy:personal-premium-money-market-savings-cc-1000-4999],
Personal Premium Money Market Savings 5000plus - Charter Consolidated,1.50,apy,personal-premium-money-market-savings-cc-5000plus,[apy:personal-premium-money-market-savings-cc-5000plus],
Personal Premium Money Market Savings 0-25 | 1871,0.13,apy,personal-premium-money-market-savings-0-25,[apy:personal-premium-money-market-savings-0-25],387
Personal Premium Money Market Savings 25-50 | 1872,0.13,apy,personal-premium-money-market-savings-25-50,[apy:personal-premium-money-market-savings-25-50],388
Personal Premium Money Market Savings 50-100 | 1873,0.13,apy,personal-premium-money-market-savings-50-100,[apy:personal-premium-money-market-savings-50-100],389
Personal Premium Money Market Savings 100-250 | 1874,0.13,apy,personal-premium-money-market-savings-100-250,[apy:personal-premium-money-market-savings-100-250],390
Personal Premium Money Market Savings 250-1000 | 1875,0.13,apy,personal-premium-money-market-savings-250-1000,[apy:personal-premium-money-market-savings-250-1000],391
Personal Premium Money Market Savings 1000-5000 | 1876,0.13,apy,personal-premium-money-market-savings-1000-5000,[apy:personal-premium-money-market-savings-1000-5000],392
Personal Premium Money Market Savings 5000-10000 | 1877,0.13,apy,personal-premium-money-market-savings-5000-10000,[apy:personal-premium-money-market-savings-5000-10000],393
Personal Premium Money Market Savings 10000plus |1878,0.13,apy,personal-premium-money-market-savings-10000plus,[apy:personal-premium-money-market-savings-10000plus],394
Personal Premium Money Market Top Tier,0.13,toptier,personal-premium-money-market-top-tier,[toptier:personal-premium-money-market-top-tier],
Personal Premium Money Market Advertised Rate | 1874,0.75,adrate,personal-premium-money-market-advertised-rate,[adrate:personal-premium-money-market-advertised-rate],
Personal Premium Money Market Savings Maintenance Fee,0,fee,personal-premium-money-market-savings-maintenance-fee,[fee:personal-premium-money-market-savings-maintenance-fee],
Personal Passbook Savings 0-250 | 5201,0.10,apy,personal-passbook-savings-0-250,[apy:personal-passbook-savings-0-250],520
Personal Passbook Savings 250plus | 5202,0.10,apy,personal-passbook-savings-250plus,[apy:personal-passbook-savings-250plus],521
Personal Passbook Maintenance Fee,6,fee,personal-passbook-savings-maintenance fee,[fee:personal-passbook-savings-maintenance fee],
Personal Passbook Minimum Deposit,500,mindep,personal-passbook-savings-minimum-deposit,[mindep:personal-passbook-savings-minimum-deposit],
Personal Passbook Top Tier,On All Balances,toptier,personal-passbook-top-tier,[toptier:personal-passbook-top-tier],
Personal Passbook Savings Disclosure Tier,"0.10% APY applies to balances of $0-$250,000.00. 0.10% APY applies to balances of $250,000.01 and up.",disclaimer,personal-passbook-savings-disclosure-tier,[disclaimer:personal-passbook-savings-disclosure-tier],
Pesonal Small Fortune Savings | 5211,0.10,apy,personal-small-fortune-savings,[apy:personal-small-fortune-savings],529
Small Biz Business Solutions High Yield Savings 0-10 | 8001,0.05,apy,small-biz-business-solutions-high-yield-savings-0-10,[apy:small-biz-business-solutions-high-yield-savings-0-10],800
Small Biz Business Solutions High Yield Savings 10-25 | 8002,0.05,apy,small-biz-business-solutions-high-yield-savings-10-25,[apy:small-biz-business-solutions-high-yield-savings-10-25],801
Small Biz Business Solutions High Yield Savings 25-50 | 8003,0.05,apy,small-biz-business-solutions-high-yield-savings-25-50,[apy:small-biz-business-solutions-high-yield-savings-25-50],802
Small Biz Business Solutions High Yield Savings 50-100 | 8004,0.05,apy,small-biz-business-solutions-high-yield-savings-50-100,[apy:small-biz-business-solutions-high-yield-savings-50-100],803
Small Biz Business Solutions High Yield Savings 100plus | 8005,0.05,apy,small-biz-business-solutions-high-yield-savings-100plus,[apy:small-biz-business-solutions-high-yield-savings-100plus],804
Small Biz Business Solutions High Yield Savings Top Tier,0.05,toptier,small-biz-business-solutions-high-yield-savings-top-tier,[toptier:small-biz-business-solutions-high-yield-savings-top-tier],
Small Biz Business Solutions Money Market Savings 0-25 | 4871,0.05,apy,small-biz-business-solutions-money-market-savings-0-25,[apy:small-biz-business-solutions-money-market-savings-0-25],100
Small Biz Business Solutions Money Market Savings 25-50 | 4872,0.05,apy,small-biz-business-solutions-money-market-savings-25-50,[apy:small-biz-business-solutions-money-market-savings-25-50],101
Small Biz Business Solutions Money Market Savings 50-100 | 4873,0.05,apy,small-biz-business-solutions-money-market-savings-50-100,[apy:small-biz-business-solutions-money-market-savings-50-100],102
Small Biz Business Solutions Money Market Savings 100-250 | 4874,0.05,apy,small-biz-business-solutions-money-market-savings-100-250,[apy:small-biz-business-solutions-money-market-savings-100-250],103
Small Biz Business Solutions Money Market Savings 250plus | 4875,0.05,apy,small-biz-business-solutions-money-market-savings-250plus,[apy:small-biz-business-solutions-money-market-savings-250plus],104
Small Biz Business Solutions Money Market Savings 1000-5000 | 4876,0.05,apy,small-biz-business-solutions-money-market-savings-1000-5000,[apy:small-biz-business-solutions-money-market-savings-1000-5000],105
Small Biz Business Solutions Money Market Savings 5000-10000 | 4877,0.05,apy,small-biz-business-solutions-money-market-savings-5000-10000,[apy:small-biz-business-solutions-money-market-savings-5000-10000],106
Small Biz Business Solutions Money Market Savings 10000plus | 4878,0.05,apy,small-biz-business-solutions-money-market-savings-10000plus,[apy:small-biz-business-solutions-money-market-savings-10000plus],107
Small Biz Business Solutions Money Market Savings Top Tier,0.01+,toptier,small-biz-business-solutions-money-market-savings-top-tier,[toptier:small-biz-business-solutions-money-market-savings-top-tier],
Small Biz Business Solutions Money Market Savings Advertised Rate | 4874,0.01,adrate,small-biz-business-solutions-money-market-savings-advertised-rate,[adrate:small-biz-business-solutions-money-market-savings-advertised-rate],
Small Biz Business Interest Checking | 2401,0.05,apy,small-biz-business-interest-checking,[apy:small-biz-business-interest-checking],240
Commercial Interest Checking 0-250 | 2351,0.05,apy,commercial-interest-checking-0-250,[apy:commercial-interest-checking-0-250],230
Commercial Interest Checking 250-1000 | 2352,0.05,apy,commercial-interest-checking-250-1000,[apy:commercial-interest-checking-250-1000],230
Commercial Interest Checking 1000-5000 | 2353,0.05,apy,commercial-interest-checking-1000-5000,[apy:commercial-interest-checking-1000-5000],230
Commercial Interest Checking 5000plus | 2354,0.05,apy,commercial-interest-checking-5000plus,[apy:commercial-interest-checking-5000plus],230
Commercial Interest Checking Monthly Maintenance Fee,18,fee,commercial-interest-checking-monthly-fee,[fee:commercial-interest-checking-monthly-fee],
Commerical Interest Checking Top Tier,On All Balances,toptier,commercial-interest-checking-top-tier,[toptier:commercial-interest-checking-top-tier],
Commercial Interest Checking Advertised Rate | 2351,0.01,adrate,commercial-interest-checking-advertised-rate,[adrate:commercial-interest-checking-advertised-rate],
Commercial Checking Monthly Maintenance Fee,18,fee,commercial-checking-monthly-fee,[fee:commercial-checking-monthly-fee],
Commercial Business Savings | 6001,0.05,apy,commercial-business-savings,[apy:commercial-business-savings],600
Commercial Business Savings Monthly Maintenance Fee,2,fee,commercial-business-savings-monthly-fee,[fee:commercial-business-savings-monthly-fee],
Commercial Business High Yield Savings 0-10 | 6871,0.05,apy,commercial-business-high-yield-savings-0-10,[apy:commercial-business-high-yield-savings-0-10],687
Commercial Business High Yield Savings 10-25 | 6872,0.05,apy,commercial-business-high-yield-savings-10-25,[apy:commercial-business-high-yield-savings-10-25],688
Commercial Business High Yield Savings 25-50 | 6873,0.05,apy,commercial-business-high-yield-savings-25-50,[apy:commercial-business-high-yield-savings-25-50],689
Commercial Business High Yield Savings 50-100 | 6874,0.05,apy,commercial-business-high-yield-savings-50-100,[apy:commercial-business-high-yield-savings-50-100],690
Commercial Business High Yield Savings 100plus | 6875,0.05,apy,commercial-business-high-yield-savings-100plus,[apy:commercial-business-high-yield-savings-100plus],691
Commercial Business High Yield Savings Top Tier,0.05,toptier,commercial-business-high-yield-savings-top-tier,[apy:commercial-business-high-yield-savings-top-tier],
Commercial Business High Yield Savings Advertised Rate | 6874,0.05,adrate,commercial-business-high-yield-savings-advertised-rate,[adrate:commercial-business-high-yield-savings-advertised-rate],
Commercial Business High Yield Savings Min Deposit,"10,000",mindep,commercial-business-high-yield-savings-mindep,[mindep:commercial-business-high-yield-savings-mindep],
Commercial Business Money Market Savings 0-2.5 | 2771,0.05,apy,commercial-business-money-market-savings-0-2.5,[apy:commercial-business-money-market-savings-0-2.5],277
Commercial Business Money Market Savings 2.5-5 | 2772,0.05,apy,commercial-business-money-market-savings-2.5-5,[apy:commercial-business-money-market-savings-2.5-5],278
Commercial Business Money Market Savings 5-10 | 2773,0.05,apy,commercial-business-money-market-savings-5-10,[apy:commercial-business-money-market-savings-5-10],279
Commercial Business Money Market Savings 10-25 | 2774,0.05,apy,commercial-business-money-market-savings-10-25,[apy:commercial-business-money-market-savings-10-25],280
Commercial Business Money Market Savings 25-100 | 2775,0.05,apy,commercial-business-money-market-savings-25-100,[apy:commercial-business-money-market-savings-25-100],281
Commercial Business Money Market Savings 100plus | 2776,0.05,apy,commercial-business-money-market-savings-100plus,[apy:commercial-business-money-market-savings-100plus],282
Commercial Business Money Market Savings Fee,10,fee,commercial-business-money-market-savings-fee,[fee:commercial-business-money-market-savings-fee],
Commercial Business Money Market Savings Top Tier,0.01+,toptier,commercial-business-money-market-savings-top-tier,[apy:commercial-business-money-market-savings-top-tier],
